id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1095273,2,6/2/2016 19:15,6/2/2016 19:47,6,-73.86346436,40.76976776,-73.97277069,40.75513077,N,1905
id2153065,1,2/28/2016 9:12,2/28/2016 9:18,1,-74.00525665,40.7203331,-74.00624847,40.73451614,N,325
id0797596,1,3/24/2016 15:26,3/24/2016 15:29,1,-73.96075439,40.77030182,-73.9539566,40.77894211,N,186
id1348092,2,3/3/2016 7:53,3/3/2016 8:00,1,-73.99539185,40.73411179,-73.98568726,40.75257874,N,405
id1766292,1,6/26/2016 14:50,6/26/2016 15:29,2,-74.00016785,40.75814056,-73.94726563,40.7647934,N,2350
id3742607,1,1/22/2016 17:47,1/22/2016 17:51,1,-73.95869446,40.76382828,-73.96668243,40.76412582,N,283
id2431017,2,1/21/2016 8:28,1/21/2016 8:49,1,-74.00749969,40.7155304,-73.9788208,40.75590897,N,1277
id2735992,1,3/24/2016 22:33,3/24/2016 22:39,2,-73.98820496,40.73826599,-73.98521423,40.74752045,N,320
id1508344,1,6/7/2016 9:22,6/7/2016 9:53,1,-73.9756012,40.76280975,-73.99121094,40.75008774,N,1829
id3967204,1,3/14/2016 13:42,3/14/2016 13:47,1,-73.9949646,40.7603035,-73.98484802,40.76784134,N,255
id2525756,2,4/7/2016 15:58,4/7/2016 16:15,1,-73.98680878,40.76139069,-73.9610672,40.80662155,N,1074
id2833454,1,1/9/2016 16:09,1/9/2016 16:12,1,-73.99815369,40.74057007,-74.00422668,40.74753571,N,157
id3899144,2,4/8/2016 8:52,4/8/2016 9:09,1,-73.96559906,40.75466156,-73.95768738,40.78009033,N,1023
id3544774,2,3/30/2016 18:18,3/30/2016 18:49,6,-73.97016144,40.75860977,-73.99028778,40.75651932,N,1848
id3971051,2,2/24/2016 11:18,2/24/2016 11:23,1,-73.98065186,40.78316879,-73.98731995,40.77527237,N,298
id3803118,1,3/31/2016 13:14,3/31/2016 13:20,1,-73.98281097,40.75130844,-73.98542023,40.74822998,N,339
id0206545,1,3/22/2016 20:44,3/22/2016 20:51,4,-74.00291443,40.75049591,-73.99338531,40.74306107,N,450
id2649925,2,1/4/2016 19:10,1/4/2016 19:14,1,-73.97174835,40.75770569,-73.97193909,40.76565933,N,287
id1679612,2,5/25/2016 19:04,5/25/2016 19:34,1,-73.98078918,40.76057816,-73.94403839,40.77593994,N,1835
id0500763,1,2/25/2016 15:04,2/25/2016 15:13,2,-73.95838165,40.76041794,-73.96880341,40.76357269,N,560
id1100632,1,3/2/2016 16:29,3/2/2016 17:06,1,-73.99745941,40.72473526,-73.95441437,40.66981125,N,2189
id1216289,2,4/20/2016 14:29,4/20/2016 14:35,5,-73.99295807,40.73739624,-74.00001526,40.73404694,N,346
id2271116,2,6/15/2016 12:42,6/15/2016 13:06,1,-73.9799118,40.77597046,-73.97124481,40.7564888,N,1442
id3281604,1,6/3/2016 13:04,6/3/2016 13:14,1,-73.97927094,40.73719406,-73.99177551,40.74245071,N,549
id2681567,2,1/11/2016 17:32,1/11/2016 17:56,1,-73.95093536,40.78596878,-73.98404694,40.74286652,N,1420
id1294417,1,5/31/2016 12:56,5/31/2016 13:22,1,-73.97336578,40.74615097,-73.9728241,40.79031372,N,1546
id0255840,2,4/17/2016 14:04,4/17/2016 14:09,1,-73.98658752,40.75138092,-73.98552704,40.75801849,N,313
id3094049,2,1/16/2016 20:04,1/16/2016 20:10,1,-73.9681015,40.75540543,-73.9485321,40.7779808,N,372
id0156302,1,4/18/2016 20:52,4/18/2016 21:06,1,-74.00796509,40.71700668,-73.99738312,40.68365097,N,808
id2552522,1,2/13/2016 11:47,2/13/2016 12:11,2,-73.97812653,40.75202942,-73.9958725,40.76920319,N,1415
id1020589,2,6/26/2016 16:26,6/26/2016 16:33,1,-73.99533081,40.75996017,-73.98059845,40.77997971,N,386
id1571256,1,5/7/2016 8:34,5/7/2016 8:37,1,-73.9582901,40.77293396,-73.95057678,40.78556824,N,214
id3198538,2,6/5/2016 10:31,6/5/2016 10:37,1,-73.96129608,40.7962265,-73.94064331,40.81394577,N,363
id3695961,1,5/30/2016 23:04,5/30/2016 23:42,1,-73.98436737,40.76020813,-73.91324615,40.68678284,N,2280
id1105969,2,5/6/2016 13:46,5/6/2016 14:05,2,-73.96073151,40.78115082,-73.97531891,40.76102066,N,1103
id0771613,2,5/19/2016 10:28,5/19/2016 10:41,1,-73.9726944,40.75317764,-73.9300766,40.75613022,N,741
id0076747,1,5/15/2016 12:04,5/15/2016 12:13,1,-73.97949219,40.75467682,-73.97605133,40.7466507,N,494
id2645667,1,4/11/2016 21:29,4/11/2016 21:52,1,-73.98775482,40.72439957,-73.98375702,40.78281784,N,1392
id1908546,2,3/15/2016 8:59,3/15/2016 9:11,1,-73.9672699,40.76919937,-73.97499847,40.75537109,N,697
id1431716,1,1/5/2016 18:39,1/5/2016 18:50,1,-73.95994568,40.77349472,-73.96501923,40.75800323,N,672
id2893078,1,3/30/2016 13:39,3/30/2016 13:47,1,-73.99021912,40.74647903,-73.98159027,40.75944519,N,492
id2751531,1,5/1/2016 12:15,5/1/2016 12:18,1,-73.8232193,40.76367569,-73.82324219,40.76372528,N,165
id0673889,1,3/25/2016 11:00,3/25/2016 11:06,2,-73.942276,40.79894638,-73.93728638,40.8131752,N,370
id1612381,2,5/23/2016 19:24,5/23/2016 19:30,6,-73.99523163,40.72745132,-73.99945831,40.71852875,N,398
id0869604,2,6/8/2016 9:52,6/8/2016 10:06,1,-74.00603485,40.73316956,-74.00376129,40.75093079,N,848
id3263253,2,3/25/2016 21:55,3/25/2016 21:59,2,-73.98784637,40.73822021,-74.00054932,40.74150085,N,249
id0645556,2,6/10/2016 9:42,6/10/2016 9:45,1,-73.99661255,40.72362137,-73.99128723,40.72980118,N,174
id2022839,1,1/18/2016 22:25,1/18/2016 22:58,2,-73.78813171,40.64151001,-73.99349976,40.75230789,N,1942
id3258617,2,3/9/2016 0:43,3/9/2016 0:49,1,-73.97496796,40.79045868,-73.98919678,40.77447128,N,352
id3892337,2,4/4/2016 20:50,4/4/2016 20:55,1,-73.98072815,40.75991821,-73.98049927,40.77322769,N,326
id3101500,2,2/11/2016 19:16,2/11/2016 19:26,1,-74.00353241,40.72230148,-73.98724365,40.72238541,N,615
id0281865,2,5/9/2016 16:19,5/9/2016 16:31,2,-73.98483276,40.75875854,-73.97627258,40.74198151,N,711
id3204761,2,6/3/2016 17:29,6/3/2016 18:05,1,-74.00697327,40.67599106,-73.94937897,40.717659,N,2151
id1432958,1,5/29/2016 13:29,5/29/2016 13:37,1,-74.00513458,40.73596573,-73.98223114,40.72798157,N,487
id3241814,1,2/20/2016 11:43,2/20/2016 12:00,1,-73.9960022,40.73687744,-73.98749542,40.72180557,N,1011
id0116773,2,6/16/2016 18:58,6/16/2016 19:07,2,-73.96511078,40.77516174,-73.96121216,40.76675415,N,533
id2719888,2,1/6/2016 22:22,1/6/2016 23:06,1,-73.9769516,40.74729156,-73.77628326,40.6455307,N,2679
id2039617,2,2/23/2016 11:05,2/23/2016 11:11,4,-73.9806366,40.74516678,-73.99190521,40.7311554,N,347
id1571068,2,6/14/2016 19:25,6/14/2016 19:32,1,-73.99082184,40.75101089,-73.99324036,40.76268005,N,399
id0706828,2,3/28/2016 15:37,3/28/2016 15:57,1,-73.98931122,40.76039886,-73.95411682,40.77893829,N,1182
id2351594,2,1/18/2016 22:28,1/18/2016 22:37,5,-73.98509979,40.72783661,-73.99826813,40.74557114,N,541
id3829549,2,3/21/2016 13:02,3/21/2016 13:29,1,-73.8853302,40.76769257,-73.98999023,40.73330307,N,1592
id0219601,2,5/5/2016 22:56,5/5/2016 23:20,6,-73.78221893,40.64466858,-73.86300659,40.67908096,N,1461
id3738703,1,3/24/2016 15:49,3/24/2016 16:27,1,-74.00930786,40.71550369,-74.01567078,40.71558762,N,2333
id0652982,2,4/2/2016 11:55,4/2/2016 12:05,2,-73.97843933,40.72964096,-73.95924377,40.76340866,N,597
id1619047,1,1/22/2016 16:31,1/22/2016 16:45,1,-73.97657776,40.77550125,-73.96173859,40.76433182,N,824
id3018403,1,3/16/2016 19:32,3/16/2016 19:44,1,-73.97740173,40.75545502,-73.95776367,40.77859116,N,719
id0275189,2,4/29/2016 6:14,4/29/2016 6:17,6,-73.97689819,40.75598145,-73.9785614,40.76511002,N,181
id2149293,2,3/8/2016 22:09,3/8/2016 22:28,1,-74.00772095,40.71004486,-73.95571899,40.71411514,N,1165
id0971812,2,3/5/2016 19:13,3/5/2016 19:45,1,-73.96497345,40.79114914,-73.91362762,40.71490097,N,1931
id1121455,2,4/6/2016 22:13,4/6/2016 22:52,5,-73.98056793,40.76568985,-73.9954071,40.68320847,N,2375
id2269655,1,4/6/2016 20:27,4/6/2016 20:42,1,-73.97124481,40.76081848,-73.9824295,40.73592758,N,863
id1969749,1,2/19/2016 16:10,2/19/2016 16:20,1,-73.98036194,40.7779007,-73.95592499,40.78479385,N,624
id2032655,1,5/10/2016 18:23,5/10/2016 18:30,1,-73.98257446,40.75105286,-73.9808197,40.74051666,N,426
id2542458,1,3/6/2016 10:33,3/6/2016 10:36,2,-73.99113464,40.74531937,-73.99238586,40.74897003,N,181
id0588978,1,6/4/2016 3:08,6/4/2016 3:33,3,-73.99171448,40.72708893,-73.97997284,40.68200684,N,1507
id3786690,1,6/21/2016 19:32,6/21/2016 19:52,1,-73.99020386,40.74067688,-73.97612,40.77593994,N,1178
id0773686,2,2/29/2016 18:05,2/29/2016 18:29,1,-73.99086761,40.69615936,-73.97248077,40.64242935,N,1439
id0595224,1,2/27/2016 13:51,2/27/2016 14:02,1,-73.99529266,40.74481583,-73.97714996,40.75026703,N,629
id2395114,1,4/21/2016 20:22,4/21/2016 21:00,1,-73.98066711,40.7819519,-73.98983765,40.72062302,N,2289
id0597218,2,2/22/2016 16:39,2/22/2016 16:44,1,-74.0019455,40.74048233,-73.99073792,40.74610519,N,337
id2425653,2,3/31/2016 2:11,3/31/2016 2:13,1,-73.9836731,40.74894333,-73.98876953,40.73865891,N,165
id1552858,2,5/27/2016 10:57,5/27/2016 11:09,1,-73.94969177,40.78461075,-73.95280457,40.78895569,N,678
id0114544,2,3/8/2016 4:40,3/8/2016 5:00,1,-74.00563812,40.74047089,-73.93546295,40.69694138,N,1229
id0351472,1,4/22/2016 21:00,4/22/2016 21:05,1,-73.97268677,40.79317474,-73.96446228,40.80339813,N,269
id0819481,2,5/15/2016 15:59,5/15/2016 16:07,2,-73.99514771,40.71849823,-73.97917938,40.71229935,N,508
id2440127,2,1/5/2016 7:21,1/5/2016 7:27,2,-73.97312927,40.79307556,-73.96154022,40.79618073,N,354
id1937245,2,2/24/2016 23:18,2/24/2016 23:26,1,-73.98970032,40.7356987,-74.00801086,40.71141052,N,506
id3597013,1,3/7/2016 16:11,3/7/2016 17:02,1,-73.78339386,40.64864349,-73.93470764,40.69763947,N,3072
id3622015,2,4/19/2016 23:58,4/19/2016 23:59,5,-74.00630951,40.73348618,-74.00197601,40.73942566,N,81
id3868068,1,3/18/2016 11:22,3/18/2016 11:31,1,-73.98435211,40.77482605,-73.97779846,40.78386307,N,557
id1945442,2,1/21/2016 17:19,1/21/2016 17:23,2,-73.9627533,40.76673126,-73.96074677,40.77510834,N,215
id0456957,1,1/18/2016 10:08,1/18/2016 10:27,1,-74.0066452,40.72040176,-73.96443939,40.75466156,N,1187
id0284685,2,5/17/2016 21:32,5/17/2016 21:39,1,-74.00003815,40.72688293,-73.98519135,40.74201584,N,437
id2708919,1,3/15/2016 16:04,3/15/2016 16:13,1,-74.0089035,40.71918488,-73.99869537,40.73966599,N,510
id2015214,2,5/16/2016 11:14,5/16/2016 11:23,1,-73.98731232,40.7444191,-74.00604248,40.73497009,N,535
id3069634,1,5/29/2016 21:12,5/29/2016 21:55,2,-73.77677917,40.645298,-73.97515869,40.68948746,N,2590
id3120791,1,6/11/2016 21:31,6/11/2016 21:47,1,-73.98455811,40.748703,-73.98538971,40.75971222,N,960
id2578522,1,5/19/2016 4:14,5/19/2016 4:32,1,-73.98804474,40.73820877,-73.9153595,40.77944183,N,1117
id2013122,2,5/9/2016 16:04,5/9/2016 16:26,1,-73.99176025,40.76486969,-73.95440674,40.80561829,N,1314
id0950951,2,3/4/2016 0:53,3/4/2016 1:02,5,-73.97221375,40.76305389,-73.94724274,40.78828049,N,569
id1950177,2,6/14/2016 21:56,6/14/2016 22:04,1,-73.98668671,40.7578392,-73.97209167,40.76224136,N,498
id1076538,2,4/28/2016 7:13,4/28/2016 7:22,1,-73.97621918,40.74436188,-73.98046875,40.76028824,N,531
id1028166,2,5/5/2016 22:35,5/5/2016 23:20,5,-73.87307739,40.77408981,-73.9912262,40.74731064,N,2743
id0074169,2,6/29/2016 12:03,6/29/2016 12:23,1,-73.99429321,40.75603485,-73.99113464,40.73278809,N,1207
id2638911,2,1/9/2016 10:06,1/9/2016 10:15,3,-73.96060944,40.81652069,-73.95169067,40.82707977,N,580
id0596188,1,3/10/2016 13:10,3/10/2016 13:27,2,-73.97226715,40.7501297,-74.00776672,40.70353699,N,1037
id2568555,1,4/2/2016 23:37,4/2/2016 23:44,3,-73.98854828,40.74294281,-73.98506927,40.73223495,N,428
id3910347,1,5/7/2016 13:44,5/7/2016 13:49,2,-74.0008316,40.73180389,-73.99034882,40.73295212,N,313
id0956505,2,6/26/2016 17:01,6/26/2016 17:13,6,-73.96646118,40.78419113,-73.97393799,40.76307678,N,703
id0089998,1,5/3/2016 14:55,5/3/2016 15:14,1,-73.9609375,40.76990128,-73.95535278,40.74593735,N,1130
id1965036,2,5/12/2016 10:43,5/12/2016 10:54,2,-73.98213959,40.7782402,-73.95929718,40.77994919,N,695
id2444875,2,4/7/2016 8:42,4/7/2016 8:59,1,-73.94458008,40.77944183,-73.97005463,40.75269318,N,975
id0344425,2,6/13/2016 18:27,6/13/2016 18:54,1,-73.9776535,40.78283691,-73.94502258,40.75212097,N,1625
id1514658,1,3/22/2016 8:23,3/22/2016 8:23,2,-73.90205383,40.76401138,-73.90206146,40.76402283,N,7
id3980645,1,4/12/2016 19:06,4/12/2016 19:15,1,-74.0033493,40.74878693,-73.98589325,40.77552032,N,529
id3808644,2,5/6/2016 8:33,5/6/2016 8:42,3,-74.00514221,40.7462616,-73.99643707,40.76015091,N,554
id2935145,1,3/16/2016 19:29,3/16/2016 19:48,2,-73.97262573,40.75341415,-74.01478577,40.70809555,N,1157
id2745422,2,6/22/2016 8:00,6/22/2016 9:18,2,-73.77915192,40.64751053,-73.98214722,40.75698853,N,4677
id1603901,2,5/21/2016 3:36,5/21/2016 3:46,1,-73.99189758,40.71863174,-73.9981308,40.73300171,N,615
id1273252,2,1/9/2016 2:56,1/9/2016 3:18,1,-73.98415375,40.72517014,-73.97827911,40.77886581,N,1341
id2719594,2,3/6/2016 2:29,3/6/2016 2:35,1,-73.93697357,40.70195389,-73.94629669,40.69420624,N,371
id1341512,2,2/1/2016 13:50,2/1/2016 14:03,1,-73.99265289,40.73822021,-73.9852066,40.75202942,N,749
id2484046,1,5/13/2016 0:05,5/13/2016 0:21,1,-73.98965454,40.72950363,-73.95253754,40.77568817,N,909
id0195551,2,4/24/2016 11:06,4/24/2016 11:11,1,-73.96810913,40.79211044,-73.97760773,40.78725815,N,315
id1720102,1,4/18/2016 15:44,4/18/2016 15:56,2,-73.97497559,40.75940704,-73.95333099,40.76846313,N,706
id2738203,2,3/23/2016 5:15,3/23/2016 5:27,1,-73.99826813,40.71707535,-73.98779297,40.74568176,N,771
id2126330,1,3/14/2016 17:02,3/14/2016 17:21,1,-73.97422791,40.74208069,-73.95258331,40.77246857,N,1107
id1596877,2,4/19/2016 10:17,4/19/2016 10:23,1,-73.99105072,40.69241333,-73.99755859,40.67899323,N,384
id3355875,1,4/3/2016 22:09,4/3/2016 22:18,3,-73.98892212,40.74252319,-73.97763062,40.75213623,N,556
id1877201,1,4/30/2016 18:52,4/30/2016 19:05,1,-73.99417114,40.75138474,-73.969841,40.76581573,N,783
id2670811,2,5/18/2016 23:44,5/18/2016 23:56,1,-73.98551178,40.74782181,-73.95276642,40.78668594,N,723
id2014385,2,3/1/2016 12:17,3/1/2016 12:24,3,-73.97914886,40.75313187,-73.97396088,40.76026917,N,409
id3804599,1,3/1/2016 16:17,3/1/2016 17:08,2,-73.7848587,40.64855957,-73.97073364,40.79674911,N,3062
id0147751,2,3/2/2016 16:33,3/2/2016 16:39,1,-73.99674988,40.72388458,-73.98738098,40.72038651,N,367
id2180603,2,2/5/2016 13:58,2/5/2016 14:05,3,-74.00453186,40.74781036,-74.00449371,40.74214554,N,399
id2579261,1,1/27/2016 13:59,1/27/2016 15:09,2,-73.78346252,40.64874268,-73.97866058,40.76331329,N,4209
id0306537,2,1/6/2016 12:22,1/6/2016 12:43,1,-73.96087646,40.75716019,-73.98885345,40.75112152,N,1296
id2504910,1,5/21/2016 12:12,5/21/2016 12:22,2,-73.99710846,40.76266861,-73.99504089,40.75003815,N,564
id2215828,1,1/16/2016 1:26,1/16/2016 1:32,1,-73.98438263,40.76012421,-73.99558258,40.76375961,N,377
id3398067,1,2/24/2016 8:03,2/24/2016 8:09,1,-73.98210907,40.76263428,-73.99189758,40.74237823,N,388
id3767942,1,2/17/2016 1:20,2/17/2016 1:29,1,-73.98195648,40.74650192,-73.95077515,40.77090454,N,526
id2383212,1,6/9/2016 7:50,6/9/2016 8:22,1,-74.01596069,40.71113968,-73.96977997,40.75954819,N,1919
id0917901,2,4/22/2016 13:56,4/22/2016 14:13,1,-73.97007751,40.76565933,-73.99130249,40.75027847,N,1067
id1540534,2,6/12/2016 18:08,6/12/2016 18:25,5,-73.97356415,40.76288605,-73.98539734,40.75836182,N,1026
id2067929,2,5/23/2016 13:39,5/23/2016 14:01,6,-73.98117065,40.75003815,-74.01037598,40.72151566,N,1358
id0427262,1,1/8/2016 14:59,1/8/2016 15:14,1,-73.99529266,40.74957275,-73.98457336,40.77977371,N,875
id0947462,1,6/8/2016 7:00,6/8/2016 7:05,1,-74.00005341,40.76133728,-73.98736572,40.75305939,N,313
id1213043,1,1/25/2016 8:25,1/25/2016 8:55,4,-73.98436737,40.76555252,-74.01093292,40.70171356,N,1848
id3836273,2,6/3/2016 8:24,6/3/2016 8:45,1,-73.9488678,40.77357101,-73.97641754,40.79360962,N,1280
id0879172,1,2/16/2016 10:58,2/16/2016 11:04,1,-73.99420166,40.7352829,-73.99651337,40.72705841,N,347
id0677366,2,3/8/2016 18:18,3/8/2016 18:23,1,-73.98040009,40.78263855,-73.98246002,40.77257919,N,284
id1672081,2,1/13/2016 11:32,1/13/2016 11:47,1,-73.97849274,40.74578857,-73.98510742,40.74192047,N,860
id0964703,1,3/4/2016 18:29,3/4/2016 18:45,2,-73.98191833,40.77840042,-73.96533966,40.76183319,N,923
id3287897,1,2/11/2016 15:53,2/11/2016 16:03,1,-73.99759674,40.72426605,-74.00576019,40.73232651,N,569
id3742117,2,3/27/2016 16:11,3/27/2016 16:16,5,-73.96673584,40.78899765,-73.95658112,40.78170013,N,297
id1882100,1,4/22/2016 1:20,4/22/2016 1:52,1,-73.98847961,40.73147202,-73.88807678,40.74528885,N,1922
id0790516,1,1/3/2016 23:17,1/3/2016 23:30,2,-73.97158051,40.79471207,-73.98236084,40.77429581,N,777
id1253892,1,4/27/2016 22:03,4/27/2016 22:16,1,-74.00938416,40.70420456,-73.97699738,40.75188828,N,787
id2364839,1,4/5/2016 13:55,4/5/2016 14:07,1,-73.97807312,40.75683212,-73.99340057,40.7466507,N,730
id3908732,1,3/19/2016 3:49,3/19/2016 3:57,1,-73.96879578,40.75469589,-73.98579407,40.72296524,N,451
id3390921,1,2/2/2016 3:37,2/2/2016 3:51,1,-73.94350433,40.68000412,-73.99079895,40.65969086,N,837
id2175764,2,5/7/2016 22:14,5/7/2016 22:32,1,-73.98129272,40.74980545,-74.0037384,40.72993851,N,1063
id1949640,2,2/5/2016 13:38,2/5/2016 13:41,3,-73.98099518,40.72962952,-73.98760986,40.72383499,N,165
id2256911,1,3/29/2016 22:20,3/29/2016 22:37,1,-73.99313354,40.75728607,-74.01738739,40.71067047,N,994
id3028295,2,2/17/2016 13:35,2/17/2016 14:02,2,-73.98991394,40.74340057,-74.01144409,40.70853806,N,1607
id0809538,1,4/20/2016 19:41,4/20/2016 19:47,1,-73.98247528,40.77306366,-73.98815918,40.76318741,N,374
id0157197,1,4/27/2016 0:45,4/27/2016 1:00,1,-73.991539,40.72693253,-73.93596649,40.79523087,N,944
id0728350,2,5/7/2016 10:06,5/7/2016 10:16,1,-73.99668121,40.73126984,-73.98822784,40.74467087,N,606
id0410928,2,3/6/2016 13:16,3/6/2016 13:29,1,-73.98008728,40.73925018,-73.98381805,40.75561905,N,774
id3414812,2,4/1/2016 19:01,4/1/2016 19:19,1,-73.95350647,40.76710129,-73.99434662,40.74848938,N,1037
id0747353,1,1/7/2016 14:56,1/7/2016 15:01,1,-73.98889923,40.7365799,-73.98043823,40.74259567,N,284
id3299627,2,2/12/2016 10:58,2/12/2016 11:07,5,-73.97951508,40.77135849,-73.97363281,40.75669861,N,551
id1645477,1,2/3/2016 21:32,2/3/2016 21:39,1,-73.98709869,40.75662994,-74.00548553,40.74818039,N,431
id1119337,2,3/30/2016 20:37,3/30/2016 21:02,2,-73.95015717,40.78398895,-73.9930191,40.74782944,N,1489
id2402832,1,1/22/2016 9:43,1/22/2016 10:07,1,-73.9996109,40.72189331,-73.97987366,40.74327087,N,1429
id0990371,1,6/27/2016 14:53,6/27/2016 15:05,1,-73.9876709,40.75220871,-73.98212433,40.7735939,N,690
id2268958,2,1/18/2016 12:25,1/18/2016 12:37,1,-73.99835968,40.74081039,-73.98715973,40.75125122,N,730
id0866402,2,2/22/2016 17:50,2/22/2016 18:27,1,-73.87314606,40.774086,-73.98390961,40.76825333,N,2199
id2543159,2,2/3/2016 23:23,2/3/2016 23:28,1,-73.97100067,40.75595856,-73.95703888,40.76622009,N,299
id3908227,1,6/15/2016 11:41,6/15/2016 11:55,1,-73.99101257,40.7565155,-74.00356293,40.75561142,N,875
id0415477,2,1/29/2016 6:31,1/29/2016 6:33,1,-73.94126892,40.80792236,-73.94073486,40.81416321,N,162
id3357632,2,6/10/2016 12:38,6/10/2016 12:49,1,-73.98477173,40.77914047,-73.97054291,40.79426956,N,639
id2167416,1,3/11/2016 14:47,3/11/2016 14:56,1,-73.98138428,40.77350235,-73.97151947,40.76378632,N,507
id2333289,1,2/26/2016 19:29,2/26/2016 19:52,1,-73.99952698,40.75391769,-73.95185852,40.77624512,N,1372
id1049141,2,1/25/2016 21:39,1/25/2016 21:44,2,-73.98692322,40.76588058,-73.9789505,40.77738953,N,330
id3224353,1,2/1/2016 13:59,2/1/2016 14:04,1,-73.97892761,40.73651886,-73.97710419,40.74729919,N,348
id2900311,2,4/3/2016 1:53,4/3/2016 2:02,1,-73.98166656,40.75865936,-73.94956207,40.77243042,N,551
id1294821,1,2/7/2016 9:27,2/7/2016 9:37,1,-73.97229004,40.74990845,-74.00157928,40.72637177,N,593
id2988090,1,2/20/2016 17:58,2/20/2016 18:04,2,-73.9858551,40.74662018,-73.99313354,40.73681259,N,345
id3303627,2,6/10/2016 10:13,6/10/2016 10:37,1,-74.01451874,40.71701813,-73.98114777,40.75810623,N,1486
id1140431,1,3/4/2016 13:33,3/4/2016 13:48,2,-73.99274445,40.76858902,-73.99120331,40.75028992,N,895
id1877749,1,2/16/2016 19:29,2/16/2016 19:35,1,-73.9793396,40.76615906,-73.97708893,40.77676392,N,371
id1215741,1,4/5/2016 20:13,4/5/2016 20:19,1,-73.98612976,40.76248169,-73.99521637,40.75479507,N,356
id0518421,1,6/30/2016 21:26,6/30/2016 21:32,1,-73.99192047,40.73800278,-73.99378967,40.75112152,N,358
id2578597,1,6/20/2016 20:05,6/20/2016 20:18,1,-73.97222137,40.63274384,-73.99091339,40.60660934,N,806
id1641019,1,6/11/2016 23:09,6/11/2016 23:23,2,-74.00106049,40.76176071,-73.98906708,40.74829865,N,828
id0196538,1,2/21/2016 14:10,2/21/2016 14:14,2,-73.99736786,40.68405533,-73.99066162,40.680439,N,197
id3794563,1,3/23/2016 0:56,3/23/2016 0:58,2,-73.98805237,40.72371674,-73.98438263,40.72877502,N,123
id2300487,1,4/18/2016 19:04,4/18/2016 19:17,1,-73.98632813,40.77674484,-73.99276733,40.748703,N,783
id0426236,1,4/16/2016 8:29,4/16/2016 8:33,1,-74.00676727,40.73073578,-73.99633026,40.74676514,N,253
id2814652,2,6/16/2016 6:51,6/16/2016 7:00,3,-73.97640991,40.77566528,-73.96943665,40.75875473,N,542
id1173087,2,3/8/2016 11:18,3/8/2016 11:27,2,-73.97458649,40.79335022,-73.97926331,40.77679062,N,532
